id,emotion_types,extra_info,category,image_url,_unit_id,_created_at,_golden,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip
3319805563,"joy
trust",,field,https://farm6.staticflickr.com/5078/14407411024_b5dfc2d8e2.jpg,1567833993,1/31/2018 20:02:34,false,,1/31/2018 20:01:40,false,gifthunterclub,1,44061950,USA,NY,New York,107.170.238.211
3319808361,anticipation,,field,https://farm6.staticflickr.com/5078/14407411024_b5dfc2d8e2.jpg,1567833993,1/31/2018 20:03:40,false,,1/31/2018 20:02:35,false,prodege,1,38258094,USA,MS,Mississippi State,130.18.161.228
3319812946,"anticipation
surprise",,field,https://farm6.staticflickr.com/5078/14407411024_b5dfc2d8e2.jpg,1567833993,1/31/2018 20:05:42,false,,1/31/2018 20:03:34,false,clixsense,0.9722,20512953,USA,CA,Fairfield,76.232.182.5
3319737527,joy,,field,https://farm8.staticflickr.com/7661/17389695592_6bf4b86ec4.jpg,1567833995,1/31/2018 19:24:43,false,,1/31/2018 19:24:21,false,prodege,0.875,15871675,USA,WA,Tacoma,131.191.115.104
3319749098,joy,,field,https://farm8.staticflickr.com/7661/17389695592_6bf4b86ec4.jpg,1567833995,1/31/2018 19:31:05,false,,1/31/2018 19:30:33,false,instagc,0.9375,35832653,USA,KY,Bardstown,65.118.17.137
3319797525,"joy
trust",,field,https://farm8.staticflickr.com/7661/17389695592_6bf4b86ec4.jpg,1567833995,1/31/2018 19:58:45,false,,1/31/2018 19:57:23,false,gifthunterclub,1,43894235,USA,NY,New York,192.241.181.5
3319805555,trust,,field,https://farm4.staticflickr.com/3066/2647029920_9e08061b9c.jpg,1567833996,1/31/2018 20:02:34,false,,1/31/2018 20:01:40,false,gifthunterclub,1,44061950,USA,NY,New York,107.170.238.211
3319808368,"anticipation
trust",,field,https://farm4.staticflickr.com/3066/2647029920_9e08061b9c.jpg,1567833996,1/31/2018 20:03:40,false,,1/31/2018 20:02:35,false,prodege,1,38258094,USA,MS,Mississippi State,130.18.161.228
3319812949,"anticipation
fear",,field,https://farm4.staticflickr.com/3066/2647029920_9e08061b9c.jpg,1567833996,1/31/2018 20:05:42,false,,1/31/2018 20:03:34,false,clixsense,0.9722,20512953,USA,CA,Fairfield,76.232.182.5
3319773866,surprise,,field,https://farm4.staticflickr.com/3026/3002232289_9e2991fdcf.jpg,1567833997,1/31/2018 19:45:44,false,,1/31/2018 19:44:50,false,neodev,0.9804,44103885,USA,TX,Irving,66.135.154.116
3319773878,"anticipation
fear",,field,https://farm4.staticflickr.com/3026/3002232289_9e2991fdcf.jpg,1567833997,1/31/2018 19:45:45,false,,1/31/2018 19:44:27,false,elite,1,44251435,USA,TX,El Paso,70.120.238.1
3319788714,"anticipation
fear
surprise",,field,https://farm4.staticflickr.com/3026/3002232289_9e2991fdcf.jpg,1567833997,1/31/2018 19:54:17,false,,1/31/2018 19:49:11,false,instagc,0.875,19838540,USA,AL,Mobile,68.63.67.24
3319786221,"joy
trust",,field,https://farm5.staticflickr.com/4122/4798356130_f292b179b0.jpg,1567833998,1/31/2018 19:52:55,false,,1/31/2018 19:51:55,false,gifthunterclub,0.875,44067049,USA,NY,New York,162.243.30.37
3319790944,"joy
trust",,field,https://farm5.staticflickr.com/4122/4798356130_f292b179b0.jpg,1567833998,1/31/2018 19:55:29,false,,1/31/2018 19:54:49,false,gifthunterclub,1,44067195,USA,NY,New York,162.243.11.92
3319791639,trust,,field,https://farm5.staticflickr.com/4122/4798356130_f292b179b0.jpg,1567833998,1/31/2018 19:55:55,false,,1/31/2018 19:55:01,false,fusioncash,1,44245329,USA,MT,Lincoln,76.75.45.146
3319737496,fear,,field,https://farm4.staticflickr.com/3908/14694648492_2dd90c7a94.jpg,1567834001,1/31/2018 19:24:43,false,,1/31/2018 19:24:21,false,prodege,0.875,15871675,USA,WA,Tacoma,131.191.115.104
3319749094,"joy
surprise
trust",,field,https://farm4.staticflickr.com/3908/14694648492_2dd90c7a94.jpg,1567834001,1/31/2018 19:31:05,false,,1/31/2018 19:30:33,false,instagc,0.9375,35832653,USA,KY,Bardstown,65.118.17.137
3319797533,sadness,,field,https://farm4.staticflickr.com/3908/14694648492_2dd90c7a94.jpg,1567834001,1/31/2018 19:58:45,false,,1/31/2018 19:57:23,false,gifthunterclub,1,43894235,USA,NY,New York,192.241.181.5
3319866958,"sadness
trust",,field,https://farm1.staticflickr.com/10/17425893_02bb99f9ed.jpg,1567834003,1/31/2018 20:31:26,false,,1/31/2018 20:30:35,false,instagc,0.875,39734761,USA,VA,Arlington,50.203.120.114
3319870291,"anticipation
fear
trust",,field,https://farm1.staticflickr.com/10/17425893_02bb99f9ed.jpg,1567834003,1/31/2018 20:33:04,false,,1/31/2018 20:31:16,false,elite,0.92,43889159,USA,WA,Seattle,62.100.209.35
3319886144,anticipation,,field,https://farm1.staticflickr.com/10/17425893_02bb99f9ed.jpg,1567834003,1/31/2018 20:42:02,false,,1/31/2018 20:40:26,false,elite,1,44043052,USA,CA,Fremont,74.82.17.64
